,ID,COMPANY,PROVINCE,geometry,index_right,Latitude,Longitude
4391,12315343,Tourmaline Oil Corp.,BRITISH COLUMBIA,POINT (-121.6876323132706 57.62577089026016),0,57.62577089026016,-121.6876323132706
4392,12315344,Yoho Resources Inc.,BRITISH COLUMBIA,POINT (-120.99853058708429 57.12984951518055),0,57.12984951518055,-120.99853058708429
4405,12315357,Enercapita Energy Ltd.,BRITISH COLUMBIA,POINT (-120.19993931307995 56.57168599369153),0,56.57168599369153,-120.19993931307995
4407,12315359,Cenovus Energy Inc.,BRITISH COLUMBIA,POINT (-120.02950301608631 55.331218279747794),0,55.331218279747794,-120.02950301608631
4410,12315362,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-121.65230521863468 56.951023452631915),0,56.951023452631915,-121.65230521863468
4412,12315364,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-121.60217633425627 56.92479979097721),0,56.92479979097721,-121.60217633425627
4420,12315372,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-121.33253975214251 57.212653587348576),0,57.212653587348576,-121.33253975214251
4424,12315376,Enercapita Energy Ltd.,BRITISH COLUMBIA,POINT (-120.21715094125923 56.576506742923506),0,56.576506742923506,-120.21715094125923
4428,12315380,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-120.36018760068683 56.751044825857946),0,56.751044825857946,-120.36018760068683
4435,12315387,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-122.3189118588628 56.50536512329067),0,56.50536512329067,-122.3189118588628
4436,12315388,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-120.68610596085263 56.34486748271507),0,56.34486748271507,-120.68610596085263
4438,12315390,Cardinal Energy Ltd.,BRITISH COLUMBIA,POINT (-120.11211395487265 56.07379156419752),0,56.07379156419752,-120.11211395487265
4443,12315395,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-121.145427731762 57.23329365159592),0,57.23329365159592,-121.145427731762
4465,12315417,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-121.21846063976008 57.139123104908904),0,57.139123104908904,-121.21846063976008
4473,12315425,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-121.53430626393367 56.942498579165736),0,56.942498579165736,-121.53430626393367
4475,12315427,ARC Resources Ltd.,BRITISH COLUMBIA,POINT (-120.14542265174957 55.84787425096896),0,55.84787425096896,-120.14542265174957
4476,12315428,Tourmaline Oil Corp.,BRITISH COLUMBIA,POINT (-121.69723613488974 57.036519347005346),0,57.036519347005346,-121.69723613488974
4477,12315429,PETRONAS Energy Canada Ltd.,BRITISH COLUMBIA,POINT (-122.41831763565182 57.138626585967465),0,57.138626585967465,-122.41831763565182
4480,12315432,Cardinal Energy Ltd.,BRITISH COLUMBIA,POINT (-120.11759752924348 56.07073610281423),0,56.07073610281423,-120.11759752924348
